Ponto;Lat;Lon;Altura;Altura G;Altura C;Lon UTM;Lat UTM
AUTO0001;-23,97472;-46,32166;-2,833;-4,6;1,767;365538,252236707;7347942,07253846
AUTO0002;-23,97472;-46,32166;-2,831;-4,6;1,769;365538,252236707;7347942,07253846
AUTO0003;-23,97472;-46,32166;-2,828;-4,6;1,772;365538,252236707;7347942,07253846
AUTO0004;-23,97472;-46,32166;-2,846;-4,6;1,754;365538,252236707;7347942,07253846
AUTO0005;-23,97472;-46,32166;-2,822;-4,6;1,778;365538,252236707;7347942,07253846
AUTO0006;-23,97472;-46,32167;-2,822;-4,6;1,778;365537,23474481;7347942,06299973
AUTO0007;-23,97472;-46,32166;-2,844;-4,6;1,756;365538,252236707;7347942,07253846
AUTO0008;-23,97472;-46,32166;-2,822;-4,6;1,778;365538,252236707;7347942,07253846
AUTO0009;-23,97472;-46,32166;-2,832;-4,6;1,768;365538,252236707;7347942,07253846
AUTO0010;-23,97472;-46,32166;-2,845;-4,6;1,755;365538,252236707;7347942,07253846
AUTO0011;-23,97472;-46,32166;-2,859;-4,6;1,741;365538,252236707;7347942,07253846
AUTO0012;-23,97472;-46,32166;-2,859;-4,6;1,741;365538,252236707;7347942,07253846
AUTO0013;-23,97472;-46,32166;-2,866;-4,6;1,734;365538,252236707;7347942,07253846
AUTO0014;-23,97472;-46,32166;-2,844;-4,6;1,756;365538,252236707;7347942,07253846
AUTO0015;-23,97472;-46,32166;-2,842;-4,6;1,758;365538,252236707;7347942,07253846
AUTO0016;-23,97472;-46,32167;-2,846;-4,6;1,754;365537,23474481;7347942,06299973
AUTO0017;-23,97472;-46,32167;-2,859;-4,6;1,741;365537,23474481;7347942,06299973
AUTO0018;-23,97473;-46,32167;-2,885;-4,6;1,715;365537,245125829;7347940,95566553
AUTO0019;-23,97473;-46,32168;-2,869;-4,6;1,731;365536,227634007;7347940,94612673
AUTO0020;-23,97474;-46,32168;-2,881;-4,6;1,719;365536,238015109;7347939,83879252
AUTO0021;-23,97475;-46,32169;-2,912;-4,6;1,688;365535,230904548;7347938,72191944
AUTO0022;-23,97475;-46,32169;-2,843;-4,6;1,757;365535,230904548;7347938,72191944
AUTO0023;-23,97476;-46,3217;-2,871;-4,6;1,729;365534,223794144;7347937,60504627
AUTO0024;-23,97477;-46,3217;-2,867;-4,6;1,733;365534,234175415;7347936,49771206
AUTO0025;-23,97477;-46,32171;-2,913;-4,6;1,687;365533,2166839;7347936,48817302
AUTO0026;-23,97478;-46,32171;-2,898;-4,6;1,702;365533,227065253;7347935,3808388
AUTO0027;-23,97479;-46,32172;-2,925;-4,6;1,675;365532,219955252;7347934,26396547
AUTO0028;-23,9748;-46,32172;-2,971;-4,6;1,629;365532,230336692;7347933,15663125
AUTO0029;-23,9748;-46,32173;-2,978;-4,6;1,622;365531,212845406;7347933,14709206
AUTO0030;-23,97481;-46,32173;-2,91;-4,6;1,69;365531,22322693;7347932,03975783
AUTO0031;-23,97482;-46,32174;-2,896;-4,6;1,704;365530,216117326;7347930,92288434
AUTO0032;-23,97483;-46,32175;-2,967;-4,6;1,633;365529,209007881;7347929,80601077
AUTO0033;-23,97484;-46,32175;-2,946;-4,6;1,654;365529,219389574;7347928,69867653
AUTO0034;-23,97484;-46,32176;-2,955;-4,6;1,645;365528,201898595;7347928,68913711
AUTO0035;-23,97485;-46,32177;-2,968;-4,6;1,632;365527,194789467;7347927,57226338
AUTO0036;-23,97486;-46,32177;-2,984;-4,6;1,616;365527,205171325;7347926,46492913
AUTO0037;-23,97487;-46,32178;-3,006;-4,6;1,594;365526,19806244;7347925,34805532
AUTO0038;-23,97487;-46,32179;-2,968;-4,6;1,632;365525,180571688;7347925,33851568
AUTO0039;-23,97488;-46,32179;-3,068;-4,6;1,532;365525,190953711;7347924,23118142
AUTO0040;-23,97489;-46,3218;-3,086;-4,6;1,514;365524,183845141;7347923,11430744
AUTO0041;-23,9749;-46,3218;-3,078;-4,6;1,522;365524,194227251;7347922,00697318
AUTO0042;-23,97491;-46,32181;-3,095;-4,6;1,505;365523,187118923;7347920,89009912
AUTO0043;-23,97492;-46,32182;-3,086;-4,6;1,514;365522,180010753;7347919,77322498
AUTO0044;-23,97492;-46,32182;-3,144;-4,6;1,456;365522,180010753;7347919,77322498
AUTO0045;-23,97493;-46,32183;-3,193;-4,6;1,407;365521,172902743;7347918,65635076
AUTO0046;-23,97494;-46,32184;-3,227;-4,6;1,373;365520,16579489;7347917,53947646
AUTO0047;-23,97495;-46,32185;-3,228;-4,6;1,372;365519,158687196;7347916,42260208
AUTO0048;-23,97496;-46,32185;-3,265;-4,6;1,335;365519,169069723;7347915,3152678
AUTO0049;-23,97496;-46,32186;-3,326;-4,6;1,274;365518,15157966;7347915,30572763
